"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence","OTU"
"97ae3062d03df4460e6d64b7bbf2dd85","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7975393","97ae3062d03df4460e6d64b7bbf2dd85"
"97af41a7f9616585436c2fe93742605a","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris_cynodontis","0.9921225","97af41a7f9616585436c2fe93742605a"
"97afa3a60cd6a52a01e582bb084d16e0","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9961828","97afa3a60cd6a52a01e582bb084d16e0"
"97b0a2d4b29912473794b5f5b9c1ba5f","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"0.9272393","97b0a2d4b29912473794b5f5b9c1ba5f"
"97b20508f0d05bb7d4394d8769d8fed2","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97b20508f0d05bb7d4394d8769d8fed2"
"97b69806330943e3dfdc8d4684b06793","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA,"0.7979947","97b69806330943e3dfdc8d4684b06793"
"97c988bcb108971229a95c7ce02ad009","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.9152728","97c988bcb108971229a95c7ce02ad009"
"97cc0616471c0f257039702dbf705595","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7828956","97cc0616471c0f257039702dbf705595"
"97cdc1bac4474419af8f9e1745139a62","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8438213","97cdc1bac4474419af8f9e1745139a62"
"97d4b8b85a0f4554f5757093b0da3690","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7849295","97d4b8b85a0f4554f5757093b0da3690"
"97d504aae725023efacc76f1be20ace4","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97d504aae725023efacc76f1be20ace4"
"97d56165915042de5adaa8bd84d72f8b","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97d56165915042de5adaa8bd84d72f8b"
"97e2ffec5438c5cf6caafec80af417cd","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","Kondoa",NA,"0.7409828","97e2ffec5438c5cf6caafec80af417cd"
"97e41120198c4bdfb9e44111e2209453","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA,"0.9997772","97e41120198c4bdfb9e44111e2209453"
"97e6f05487f76765d512c77ebd110a76","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Gymnoascus_reessii","0.9999339","97e6f05487f76765d512c77ebd110a76"
"97e7ca24d596f6b91645ddd335051569","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97e7ca24d596f6b91645ddd335051569"
"97f1cad0f0949d7150851730577d0848","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97f1cad0f0949d7150851730577d0848"
"97fdc2c28a68a1b5c6a46abd31fc0dee","Fungi","Basidiomycota","Agaricomycetes","Cantharellales",NA,NA,NA,"0.7063433","97fdc2c28a68a1b5c6a46abd31fc0dee"
"97feac40b526b6a9f861535e769ca8e2","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7702392","97feac40b526b6a9f861535e769ca8e2"
"97ffb1409a437f3d6562d0f19abcde60","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Thamnidium","Thamnidium_elegans","0.7563006","97ffb1409a437f3d6562d0f19abcde60"
"980863f9865387aa070b58b7f2868f69","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","980863f9865387aa070b58b7f2868f69"
"9809a1a6f9a1cb641808e6bf77fcbe0c","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9809a1a6f9a1cb641808e6bf77fcbe0c"
"981360001493143edcb4fee240616cc7","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7582153","981360001493143edcb4fee240616cc7"
